name,price,rank,url
RipjawsX DDR3 1600 C9 2x4GB,,111,https://ram.userbenchmark.com/SpeedTest/89321/GSKILL-F3-12800CL9-4GBXL-2x4GB
Fury DDR3 1600 C10 2x4GB,,112,https://ram.userbenchmark.com/SpeedTest/42917/Kingston-KHX1600C10D38G-2x4GB
RipjawsX DDR3 1866 C10 2x8GB,,113,https://ram.userbenchmark.com/SpeedTest/89210/GSKILL-F3-14900CL10-8GBXL-2x8GB
RipjawsX DDR3 1600 C10 4x8GB,,114,https://ram.userbenchmark.com/SpeedTest/90320/GSKILL-F3-12800CL10-8GBXL-4x8GB
Fury DDR3 1866 C10 2x4GB,,115,https://ram.userbenchmark.com/HyperX-Fury-DDR3-1866-C10-2x4GB/Rating/3588
Savage DDR3 1600 C9 2x4GB,,116,https://ram.userbenchmark.com/SpeedTest/43139/Kingston-KHX1600C9D34GX-2x4GB
XMS3 DDR3 1600 C9 2x4GB,,117,https://ram.userbenchmark.com/SpeedTest/89663/Corsair-XMS3-CMX8GX3M2A1600C9-2x4GB
RipjawsX DDR3 1600 C10 2x8GB,,118,https://ram.userbenchmark.com/SpeedTest/89329/GSKILL-F3-12800CL10-8GBXL-2x8GB
Vengeance DDR3 1600 C9 2x4GB,,119,https://ram.userbenchmark.com/SpeedTest/89203/Corsair-Vengeance-CMZ8GX3M2A1600C9-2x4GB
Ballistix Sport LT DDR4 2666 C16 1x8GB,,120,https://ram.userbenchmark.com/SpeedTest/321149/Crucial-BLS8G4D26BFSC16FBD2-1x8GB
Ballistix Sport LT DDR4 2400 C16 1x8GB,60.0,121,https://ram.userbenchmark.com/SpeedTest/142440/Crucial-BLS8G4D240FSB16FBD-1x8GB
UDIMM DDR4 2400 C16 1x8GB,79.0,122,https://ram.userbenchmark.com/SpeedTest/358525/Crucial-CT8G4DFD824AC16FHP-1x8GB
Vengeance LPX DDR4 2400 C16 1x8GB,39.0,123,https://ram.userbenchmark.com/Corsair-Vengeance-LPX-DDR4-2400-C16-1x8GB/Rating/3610
UDIMM DDR4 2400 C16 1x16GB,85.0,124,https://ram.userbenchmark.com/SpeedTest/228105/Crucial-CT16G4DFD824AC16FAD-1x16GB
Fury DDR4 2133 C14 1x8GB,,125,https://ram.userbenchmark.com/HyperX-Fury-DDR4-2133-C14-1x8GB/Rating/3555
Vengeance LPX DDR4 2400 C14 1x8GB,48.0,126,https://ram.userbenchmark.com/SpeedTest/89446/Corsair-Vengeance-LPX-CMK8GX4M1A2400C14-1x8GB
UDIMM DDR4 2400 C17 1x4GB,41.0,127,https://ram.userbenchmark.com/SpeedTest/372497/Crucial-CT4G4DFS824AC8FHP-1x4GB
Vengeance LPX DDR4 2400 C14 1x4GB,,128,https://ram.userbenchmark.com/SpeedTest/97522/Corsair-Vengeance-LPX-CMK4GX4M1A2400C14-1x4GB
Value DDR4 2133 C15 1x4GB,,129,https://ram.userbenchmark.com/SpeedTest/109263/GSKILL-F4-2133C15-4GNT-1x4GB
ValueSelect DDR4 2133 C15 1x4GB,,130,https://ram.userbenchmark.com/SpeedTest/96727/Corsair-ValueSelect-CMV4GX4M1A2133C15-1x4GB
Vengeance DDR3 1600 C10 1x8GB,,131,https://ram.userbenchmark.com/SpeedTest/89201/Corsair-Vengeance-CMZ8GX3M1A1600C10-1x8GB
Ripjaws DDR3 1600 C9 1x4GB,,132,https://ram.userbenchmark.com/SpeedTest/90810/GSKILL-F3-12800CL9-4GBRL-1x4GB
RipjawsX DDR3 1600 C10 1x8GB,,133,https://ram.userbenchmark.com/SpeedTest/89412/GSKILL-F3-12800CL10-8GBXL-1x8GB
